path	reason	category	size_bytes	git_tracked	protected	blocked	deletion_mode	backup_tag
AGENTS.md	protected keep-list	protected	4777	yes	yes	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_ALL_ROUTES_SOFT_UNLOCK_HANDOFF.md	root old task/handoff/matrix/contract candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	3195	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_DB_BACKED_TABLES_FORMS_CODEX_PROMPT_PACK.md	prompt filename pattern owner-approved deletion	prompt-filename	349	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_E2E_JOURNEY_PROOF_25_CODEX_TASK_PACK.md	root generated report/audit/proof candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	374	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_INTERACTION_AND_DB_REALITY_AUDIT.md	root generated report/audit/proof candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	38974	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_MAIN_BASED_FALSE_GAP_CLEANUP_v0.3.md	root generated report/audit/proof candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	413	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_MVP_FIRST_BUILD_IMPLEMENTATION_HANDOFF.md	root old task/handoff/matrix/contract candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	569	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_MVP_JOURNEY_REQUIREMENTS_MATRIX.md	root old task/handoff/matrix/contract candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	72876	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_MVP_MINIMUM_PATH_CODEX_PATCH_PROMPT.md	prompt filename pattern owner-approved deletion	prompt-filename	17438	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_MVP_MINIMUM_PATH_PATCH_REPORT.md	root generated report/audit/proof candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	12154	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_MVP_MINIMUM_PATH_PRE_EDIT_REPORT.md	root generated report/audit/proof candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	12812	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_MVP_READINESS_VERDICT_FROM_REALITY_AUDIT.md	root generated report/audit/proof candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	17927	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_SCREEN_CAPABILITY_E2E_CODEX_PROMPT_PACK.md	prompt filename pattern owner-approved deletion	prompt-filename	366	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_TRUE_UX_CODEX_TASK_PACK.md	root old task/handoff/matrix/contract candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	99425	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_TRUE_UX_IMPLEMENTATION_HANDOFF.md	root old task/handoff/matrix/contract candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	102014	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_TRUE_UX_IMPLEMENTATION_HANDOFF_REPO_LOCAL_BUNDLE_MANIFEST.md	root old task/handoff/matrix/contract candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	11141	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_TRUE_UX_IMPLEMENTATION_HANDOFF_REPO_LOCAL_REFERENCE_REWRITE_REPORT.md	root generated report/audit/proof candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	16151	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_TRUE_UX_ROUTE_EVOLUTION_POLICY_MATRIX.md	root old task/handoff/matrix/contract candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	77754	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_UI_CLICKFLOW_PAGEFLOW_STATE_VISIBILITY_INTERACTION_CODEX_TASK_PACK.md	root old task/handoff/matrix/contract candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	204946	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_UX_REFACTORING_CODEX_TASK_MASTER.md	root old task/handoff/matrix/contract candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	117081	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_UX_ROUTE_POLICY_MATRIX.md	root old task/handoff/matrix/contract candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	82776	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
ALPHAVEST_WEALTHOS_CONTROL_LAYER_33_SYSTEM_PROCESS_CODEX_TASK_PACK.md	root old task/handoff/matrix/contract candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	209622	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
API_CONTRACT_MATRIX.md	root old task/handoff/matrix/contract candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	50363	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
CODEX_MASTER_TASK.md	root old task/handoff/matrix/contract candidate blocked without --include-root-old-docs	root-old-doc-candidate-blocked	721	yes	no	yes	dry-run	pre-md-trash-delete-v2-20260622-286f213
CODEX_START_PHASE_MASTER_PROMPT.md	prompt filename pattern owner-approved deletion	prompt-filename	1417	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
COPY_PASTE_CODEX_START_COMMANDS.md	prompt filename pattern owner-approved deletion	prompt-filename	999	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
